id,name,category
132887,GreenLeaf Innovations,Home
138491,Pet Haven Supplies,Pet supplies
154530,MedTech Solutions,Medical
174148,Trailblazer Outdoors,Outdoors
309143,TurboTech Auto Repairs,Automotive
463467,Global Ventures Hub,Misc
526446,Luxe Threads Boutique,Fashion
564292,AutoPro Parts & Service,Automotive
650681,Couture by Georgio,Fashion
657795,Party Elite Supplies,Misc
714535,VitalCare Pharmacy,Pharmacy
721926,Sweet Delights Bakery,F&B
731278,Trendsetter Apparel,Fashion
745321,"Kingsman Tools",Hardware
758439,"Luxe Living Furniture",Home
769583,"Mountain Range Adventures",Outdoors
789652,"NextGen Gadgets",Electronics
794325,"Olive Grove Essentials",F&B
815473,"Prime Time Sports",Sports
829654,"Quicksilver Couriers",Logistics
845319,"Rustic Charm Antiques",Home
853721,"Smart Shopper Supplies",Retail
867432,"Tech Hive Solutions",Electronics
879543,"Urban Eats",F&B
894326,"Vibrant Vibes",Entertainment
910874,"Wellness Wonders",Pharmacy
